Well	Isolate
A1	HMWF001
A2	HMWF001
A3	HMWF001
A4	HMWF001
A5	HMWF002
A6	HMWF002
A7	HMWF002
A8	HMWF002
B1	HMWF003
B2	HMWF003
B3	HMWF003
B4	HMWF003
B5	HMWF004
B6	HMWF004
B7	HMWF004
B8	HMWF004
C1	Blank
C2	Blank
C3	Blank
C4	Blank
C5	Blank
C6	Blank
C7	Blank
C8	Blank
D1	HMWF005
D2	HMWF005
D3	HMWF005
D4	HMWF005
D5	HMWF006
D6	HMWF006
D7	HMWF006
D8	HMWF006
E1	HMWF007
E2	HMWF007
E3	HMWF007
E4	HMWF007
E5	HMWF008
E6	HMWF008
E7	HMWF008
E8	HMWF008
F1	HMWF009
F2	HMWF009
F3	HMWF009
F4	HMWF009
F5	HMWF010
F6	HMWF010
F7	HMWF010
F8	HMWF010
