Time,A4
0,0.003
24,0.003
48,0.003
72,0.005
96,0.003
120,0.024
144,0.03
168,0.025
192,0.03
216,0.021
240,0.029
288,0.012
304,0.002
312,0.023
320,0.014
328,0.017
336,0.021
345,0.003
352,0.011
360,0.032
368,0.026
376,0.022
384,0.021
394,0.02
400,0.023
408,0.036
416,0.019
424,0.03
432,0.023
440,0.022
448,0.039
456,0.048
465,0.068
472,0.073
480,0.081
488,0.129
496,0.166
504,0.204
512,0.292
520,0.438
528,0.724
537,1.202
544,1.746
552,2.221
560,2.614
568,2.986
