Time,A1,A2,A3,A4,A5,A6,A7,B1,C1,D1,E1
0,0.022,0.003,0.013,0,0.016,0.012,0.014,0.019,0.006,0.018,0.022
12,0.033,0.034,0.041,0.042,0.056,0.042,0.049,0.034,0.023,0.056,0.045
24,0.058,0.053,0.08,0.064,0.093,0.055,0.06,0.031,0.023,0.053,0.097
48,0.172,0.197,0.283,0.192,0.232,0.154,0.259,0.018,0.011,0.111,0.219
61,0.37,0.45,0.576,0.483,0.477,0.448,0.677,0.023,0.011,0.253,0.431
70,0.59,0.669,0.889,0.732,0.683,0.689,0.98,0.006,0.007,0.31,0.757
85,0.93,1.088,1.421,1.251,1.1,1.182,1.58,0.169,0.045,0.507,1.366
96,1.247,1.378,1.839,1.648,1.479,1.551,2.003,0.045,0.037,0.649,1.868
99,1.617,1.736,2.047,2.036,1.851,1.979,2.28,0.005,0.014,1.195,2.098
121,2.005,1.701,2.237,2.464,2.302,2.39,2.709,0.033,0.033,2.49,2.282
129,2.045,2.006,2.258,2.505,2.345,2.458,2.738,0.016,0.016,2.669,2.28
143,2.091,2.031,2.251,2.543,2.378,2.55,2.741,0.028,0.013,2.822,2.322
