Time,A1,A2,A3,A4,B1,B2,B3,B4
0,0.032,0.01,0.026,0.017,0.007,0.023,0.019,0.033
4,0.018,0.04,0.048,0.026,0.042,0.028,0.034,0.03
8,0.14,0.142,0.119,0.165,0.052,0.104,0.065,0.091
12,1.084,1.153,1.057,1.008,0.995,1.12,1.115,1.106
16,1.363,1.41,1.466,1.443,1.451,1.573,1.449,1.5
24,1.269,1.212,1.252,1.252,1.267,1.303,1.318,1.355
28,1.224,1.195,1.178,1.213,1.244,1.279,1.254,1.314
32,1.186,1.176,1.183,1.193,1.254,1.287,1.24,1.297
